,title,desc,author,profile,buyCount,price,publishDate,url
0,Redis 深度历险：核心原理与应用实践,大型互联网企业 Redis 实践总结，结合实际问题深入讲解 Redis 内部机制,老錢,掌阅服务端技术专家，互联网分布式高并发技术十年老兵,22146,19.9,2018-07-29,https://juejin.im/book/5afc2e5f6fb9a07a9b362527
1,你不知道的 Chrome 调试技巧,熟练掌握 Chrome 调试技巧，直接提升工作效率。,dendoink,"Tomek Sułkowski ：Angular Tricity 联合创始人/ `Angular` 专家 , 在 [Medium专栏](https://t.co/IFU5poPEla) 发布多篇文章, Medium `frontend.coach` 专栏作者，拥有 15k 关注，擅长 `Typescript` 等前端技术。",12497,0.01,2019-01-22,https://juejin.im/book/5c526902e51d4543805ef35e
2,MySQL 是怎样运行的：从根儿上理解 MySQL,授人以鱼不如授人以渔，从根儿上理解 MySQL，让 MySQL 不再是一个黑盒。,小孩子4919,公众号「我们都是小青蛙」作者，专注将复杂概念简单化,12170,29.9,2018-11-29T11:21:45.443Z,https://juejin.im/book/5bffcbc9f265da614b11b731
3,前端面试之道,助你建立起完整的前端知识架构体系，探究知识的原理，深入了解大厂常考知识点,yck,资深前端开发，GitHub 16K Star 项目作者，公众号前端真好玩主笔,10966,49.9,2019-02-12,https://juejin.im/book/5bdc715fe51d454e755f75ef
4,如何使用掘金社区,掘金社区的各个功能的官方指南，帮助你玩转掘金，成为一名优秀的开发者,阴明,掘金站长,10281,0.0,2019-04-12,https://juejin.im/book/5c90640c5188252d7941f5bb
5,剖析 Vue.js 内部运行机制,把原理抽象为小 Demo，以一种对新手友好的方式带领读者漫游 Vue.js 的世界,染陌同学,BAT高级前端工程师，公众号「前端技术优选」。,10118,9.9,2018-02-10,https://juejin.im/book/5a36661851882538e2259c0f
6,前端性能优化原理与实践,毫秒必争！深入理解前端性能原理，将晦涩的知识转化为可爱的生产力，建立你自己的优化技能索引目录,修言,一线电商集团前端工程师,8143,19.9,2018-10-24,https://juejin.im/book/5b936540f265da0a9624b04b
7,Netty 入门与实战：仿写微信 IM 即时通讯系统,基于 Netty 框架实现 IM 核心系统，带你深入学习 Netty 网络编程核心知识,闪电侠,某大型互联网公司基础架构部技术专家,7672,29.9,2018-10-08,https://juejin.im/book/5b4bc28bf265da0f60130116
8,如何写一本掘金小册,帮助你了解掘金小册产品各项功能，学习如何选题、写作、发布和上线售卖,阴明,掘金创始人,7443,0.01,,https://juejin.im/book/59e414a5518825541b03ce66
9,Git 原理详解及实用指南,让你不仅用上、更用明白的 Git 实用指南,扔物线,hencoder.com 给高级 Android 工程师的进阶手册,6757,29.9,,https://juejin.im/book/5a124b29f265da431d3c472e
10,使用 webpack 定制前端开发环境,"结构化学习 webpack 的使用技巧，探索实践中如何更好地利用 webpack 构建前端开发环境
",teabyii,小鹏汽车前端开发,5450,19.9,2018-03-28,https://juejin.im/book/5a6abad5518825733c144469
