,title,source,vote
0,如果神话传说都是真的，世界会变成什么样子？,https://www.zhihu.com/question/36260262/answer/67686600,214792
1,想要充实自己，有哪10本书或者10部电影值得推荐？,https://www.zhihu.com/question/35005800/answer/61498512,193580
2,要怎样努力，才能成为很厉害的人？,https://www.zhihu.com/question/22921426/answer/23330366,172992
3,宾馆的工作人员是怎么看待开房的一对男女的？,https://www.zhihu.com/question/27540795/answer/307846975,157136
4,为什么国内大学不推行单人宿舍？,https://www.zhihu.com/question/20034722/answer/238650965,156618
5,有哪些很重要又被忽视的炒菜技巧？,https://www.zhihu.com/question/22467582/answer/21504075,155953
6,用什么睡姿抱女友睡觉最舒服？,https://www.zhihu.com/question/27995234/answer/655167944,148496
7,有哪些必备的知识技能？,https://www.zhihu.com/question/35112627/answer/61710698,137938
8,如何评价现在的大学生？,https://www.zhihu.com/question/26452022/answer/327438730,133173
9,努力学习的意义到底在哪里？,https://www.zhihu.com/question/27513493/answer/119732285,127884
10,25 岁做什么，可在 5 年后受益匪浅？,https://www.zhihu.com/question/52178718/answer/135219904,124540
11,有哪些好看的高智商悬疑电影？,https://www.zhihu.com/question/35811067/answer/65986583,117117
12,你成功地报复过谁？,https://www.zhihu.com/question/25442100/answer/235031752,113525
13,好友间的关系是如何变淡的？,https://www.zhihu.com/question/27346629/answer/36304753,110539
14,拥有稀有的姓是种怎样的体验？,https://www.zhihu.com/question/32094733/answer/54873212,107487
15,关于人性，你最想讲的一个故事是什么？,https://www.zhihu.com/question/39851186/answer/92640794,106529
16,你遇到过的最恶心的事是什么？,https://www.zhihu.com/question/31206273/answer/226677011,106127
17,你觉得自己牛在哪儿？为什么会这样觉得？,https://www.zhihu.com/question/19568396/answer/16245159,103878
18,人截肢了以后会有什么感觉？,https://www.zhihu.com/question/25518717/answer/90861183,98810
19,如何评价薛之谦 9 月 21 日对李雨桐的再次回应，并晒出转账记录？,https://www.zhihu.com/question/65640022/answer/233310989,98477
20,那些宿舍里最早起来的人后来怎么样了？,https://www.zhihu.com/question/266230601/answer/351033170,97940
21,你成功地报复过谁？,https://www.zhihu.com/question/25442100/answer/234422521,96533
22,宾馆的工作人员是怎么看待开房的一对男女的？,https://www.zhihu.com/question/27540795/answer/294240985,95877
23,谁是 2016 年的演技最差的男星？,https://www.zhihu.com/question/54384499/answer/139174791,95763
24,有哪些让你感觉惊艳的名字？,https://www.zhihu.com/question/268450915/answer/373615004,95232
25,有什么生活小玩意原来没用过，用过之后就停不了的？,https://www.zhihu.com/question/34565860/answer/372185072,95143
26,那些没听长辈劝告，与穷男朋友结婚的人现在都过得咋样了？,https://www.zhihu.com/question/273922659/answer/375167178,92896
27,你在不经意间看见过什么不该看见的东西或者事情？,https://www.zhihu.com/question/267460117/answer/328728274,92457
28,网络小说里有哪些令人拍案称奇的智障桥段？,https://www.zhihu.com/question/59595588/answer/219963941,92381
29,你有哪些有趣的「撩」或「被撩」的经历？,https://www.zhihu.com/question/56748730/answer/154122511,91416
30,手机里你最不舍得删掉的一张照片是什么？,https://www.zhihu.com/question/54104076/answer/144092579,90922
31,有哪些你难以理解的潮流？,https://www.zhihu.com/question/61676183/answer/195943977,90723
32,《不能说的秘密》是部好电影吗？,https://www.zhihu.com/question/21842476/answer/24177466,89221
33,人的心机可以深到什么程度？,https://www.zhihu.com/question/28237063/answer/273885888,89071
34,街边小吃究竟有多脏？,https://www.zhihu.com/question/275756508/answer/412111841,88098
35,有哪些「能笑死人」的笑话？,https://www.zhihu.com/question/267104067/answer/321621790,87674
36,你知道的最冷的冷知识是什么？,https://www.zhihu.com/question/51459956/answer/258679498,86255
37,你有哪些内行人才知道的省钱诀窍？,https://www.zhihu.com/question/41854964/answer/124670645,86119
38,最适合在办公室吃的零食是什么？,https://www.zhihu.com/question/19552586/answer/83906685,85226
39,低学历是否比高学历更加会赚钱？,https://www.zhihu.com/question/40068553/answer/88516445,84321
40,为什么毕业三四年后，同学间的差距会越拉越大？,https://www.zhihu.com/question/33971854/answer/257923752,82376
41,亲兄妹之间应不应该避嫌？,https://www.zhihu.com/question/267650760/answer/347403519,81742
42,男生怎么看待追自己的女生？,https://www.zhihu.com/question/26416213/answer/105005350,81155
43,就 2015 年初而言，国人的审美大体处于一个什么样的水平？,https://www.zhihu.com/question/28409136/answer/40799569,81044
44,什么叫演戏用力过猛？,https://www.zhihu.com/question/57953126/answer/324325792,80992
45,每天坚持英语学习，为什么还是学不好？,https://www.zhihu.com/question/27702564/answer/41500687,80196
46,哪些实用的小方法、小技巧、好习惯能让人每天进步？,https://www.zhihu.com/question/22292474/answer/54177203,79994
47,你的大学都有过哪些惊为天人的人物？,https://www.zhihu.com/question/62900700/answer/207142790,79451
48,你们身边有哪些人硬生生地活成了段子？,https://www.zhihu.com/question/52114382/answer/147424449,79328
49,编程到底难在哪里？,https://www.zhihu.com/question/22508677/answer/141334678,79150
50,相爱的男朋友去世是什么感受？,https://www.zhihu.com/question/28010305/answer/869843876,78705
51,有哪些小时候不明白，长大了才懂的事情？,https://www.zhihu.com/question/268207822/answer/336155328,78610
52,有哪些十分钟就能学会并终生受用的生活技能？,https://www.zhihu.com/question/20894671/answer/30171083,78447
53,有哪些「笑容逐渐消失」的例子？,https://www.zhihu.com/question/275279087/answer/389260902,78283
54,有哪些圈子里才知道的小秘密？,https://www.zhihu.com/question/49502870/answer/160100930,78122
