,title,url,author,fav,comment
0,Mmmm,https://dribbble.com/shots/4507802-Mmmm,unfold ,10938,139
1,Neo Kids - Onboarding Concept,https://dribbble.com/shots/3982257-Neo-Kids-Onboarding-Concept,FΛNTΛSY,9454,185
2,xore — solar system,https://dribbble.com/shots/4220958-xore-solar-system,Anton Skvortsov,8405,112
3,Official Firefox Rebrand,https://dribbble.com/shots/6647357-Official-Firefox-Rebrand,Ramotion,6435,170
4,Grabient - Landing Page,https://dribbble.com/shots/5367995-Grabient-Landing-Page,unfold ,6414,114
5,Firefox Rebrand,https://dribbble.com/shots/4926443-Firefox-Rebrand,Ramotion,6266,132
6,Red Wings / Game design & animation,https://dribbble.com/shots/5659945-Red-Wings-Game-design-animation,Mike | Creative Mints,6183,119
7,Who's chirping?,https://dribbble.com/shots/6974248-Who-s-chirping,Fireart Studio,6102,154
8,Groceries Shopping App Interaction,https://dribbble.com/shots/6120171-Groceries-Shopping-App-Interaction,Cuberto,6033,51
9,Quiz iOS app / Animation,https://dribbble.com/shots/5836646-Quiz-iOS-app-Animation,Mike | Creative Mints,5896,80
10,Linglee - Languages learning platform,https://dribbble.com/shots/7052720-Linglee-Languages-learning-platform,10Clouds,5704,64
11,Skeuomorph Mobile Banking,https://dribbble.com/shots/7994421-Skeuomorph-Mobile-Banking,Heartbeat Agency,5694,194
12,Walking Illustration Video Process,https://dribbble.com/shots/5694630-Walking-Illustration-Video-Process,Cuberto,5681,111
13,Vacation House Cooking Landing Page,https://dribbble.com/shots/6685757-Vacation-House-Cooking-Landing-Page,Cuberto,5661,49
14,Google Bottom Bar Navigation Pattern - Mobile UX Design,https://dribbble.com/shots/5925052-Google-Bottom-Bar-Navigation-Pattern-Mobile-UX-Design,Orizon: UI/UX Design Agency,5541,64
15,Search icon interaction,https://dribbble.com/shots/4605344-Search-icon-interaction,Oleg Frolov,5340,91
16,GOTOEGYPT - Travel Landing Page,https://dribbble.com/shots/7147835-GOTOEGYPT-Travel-Landing-Page,Achraf Elkaami,5323,194
17,The New Design Frontier: Report on how design affects business,https://dribbble.com/shots/5925522-The-New-Design-Frontier-Report-on-how-design-affects-business,InVision,5217,49
18,S E G E S T A,https://dribbble.com/shots/7012226-S-E-G-E-S-T-A,Studio VØR ,5160,154
19,Blueprint - landing page,https://dribbble.com/shots/8172256-Blueprint-landing-page,Vitality Studio,5106,88
20,Christmas Collisions 🎄,https://dribbble.com/shots/5708399-Christmas-Collisions,green chameleon,4895,84
21,File Explorer App UI,https://dribbble.com/shots/5888241-File-Explorer-App-UI,Cuberto,4825,52
22,Rainbow Ridge / Music festival,https://dribbble.com/shots/5517171-Rainbow-Ridge-Music-festival,Mike | Creative Mints,4759,53
23,IOCO / Biocomputer,https://dribbble.com/shots/9684522-IOCO-Biocomputer,Mike | Creative Mints,4722,86
24,Smart Home App,https://dribbble.com/shots/6914699-Smart-Home-App,widelab,4717,69
25,Food Icons,https://dribbble.com/shots/4463555-Food-Icons,Rwds,4658,135
26,Innovative Energy Service Website,https://dribbble.com/shots/6441217-Innovative-Energy-Service-Website,tubik,4627,69
27,Liquid Swipe Open Source,https://dribbble.com/shots/5813405-Liquid-Swipe-Open-Source,Cuberto,4529,69
28,Bubble Icon Tab Bar Open Source,https://dribbble.com/shots/6005732-Bubble-Icon-Tab-Bar-Open-Source,Cuberto,4502,37
29,Upload window interactions,https://dribbble.com/shots/6052541-Upload-window-interactions,Frame.io,4487,63
30,Snapsound Homepage (In progress),https://dribbble.com/shots/7160309-Snapsound-Homepage-In-progress,Mike Kus,4427,115
31,A - Analytics Overview,https://dribbble.com/shots/5363083-A-Analytics-Overview,Balkan Brothers,4397,56
32,Food Delivery Dashboard,https://dribbble.com/shots/6592690-Food-Delivery-Dashboard,Cuberto,4326,40
33,Devices Icons animation,https://dribbble.com/shots/6599222-Devices-Icons-animation,Milkinside,4309,67
34,Simple Music Player,https://dribbble.com/shots/9338617-Simple-Music-Player,Riotters,4289,118
35,C4D Essential Training / Part 2,https://dribbble.com/shots/6157473-C4D-Essential-Training-Part-2,Mike | Creative Mints,4288,63
36,NorthFace,https://dribbble.com/shots/5418845-NorthFace,unfold ,4247,87
37,AGE / Online courses,https://dribbble.com/shots/5603218-AGE-Online-courses,Mike | Creative Mints,4211,63
38,Money Management Dashboard,https://dribbble.com/shots/5558321-Money-Management-Dashboard,Orely,4197,32
39,A•LAB Design studio website,https://dribbble.com/shots/8212722-A-LAB-Design-studio-website,Mike | Creative Mints,4191,66
40,Epicurrence is back!,https://dribbble.com/shots/4823701-Epicurrence-is-back,Zhenya Rynzhuk,4134,158
41,Express Explorer,https://dribbble.com/shots/5553062-Express-Explorer,Cosmin Capitanu,4063,69
42,Among Trees - closed pre-alpha,https://dribbble.com/shots/7008431-Among-Trees-closed-pre-alpha,Mikael Gustafsson,4050,71
43,Motion Icon,https://dribbble.com/shots/4998336-Motion-Icon,Markus Magnusson ,3911,61
44,Attitude,https://dribbble.com/shots/7118135-Attitude,Fireart Studio,3853,106
45,No To,https://dribbble.com/shots/6508084-No-To,Studio VØR ,3836,132
46,K R A I,https://dribbble.com/shots/5298824-K-R-A-I,Studio VØR ,3805,90
47,Storages Management - App 2,https://dribbble.com/shots/7009514-Storages-Management-App-2,widelab,3796,51
48,Artificial Intelligence Browser,https://dribbble.com/shots/6762299-Artificial-Intelligence-Browser,Cuberto,3789,50
49,Olympic Sports Website,https://dribbble.com/shots/7900992-Olympic-Sports-Website,Daniel Tan,3743,102
50,H E B E,https://dribbble.com/shots/5878392-H-E-B-E,Studio VØR ,3714,152
51,field.,https://dribbble.com/shots/6008035-field,unfold ,3691,37
52,Neumorphism UI Trend 2020,https://dribbble.com/shots/9890709-Neumorphism-UI-Trend-2020,OTAKOYI,3685,95
53,Ocean - scrolling animation,https://dribbble.com/shots/5414524-Ocean-scrolling-animation,Anton Skvortsov,3685,60
54,Clubhouse Brand Identity,https://dribbble.com/shots/5509969-Clubhouse-Brand-Identity,ueno.,3684,33
55,Combo clinical trial app (UI map),https://dribbble.com/shots/6555403-Combo-clinical-trial-app-UI-map,Cuberto,3670,32
56,CSGO user interface dashboard,https://dribbble.com/shots/8905641-CSGO-user-interface-dashboard,uixNinja,3631,67
57,🔑Mi Smart Home - Outside view #1,https://dribbble.com/shots/5137383--Mi-Smart-Home-Outside-view-1,Heartbeat Agency,3624,65
58,Procedural 🌈,https://dribbble.com/shots/5615276-Procedural,green chameleon,3609,52
59,allure,https://dribbble.com/shots/6102653-allure,unfold ,3563,52
60,Mobile app - Rent a boat,https://dribbble.com/shots/7520340-Mobile-app-Rent-a-boat,Outcrowd ,3563,83
61,Designer And Client 2,https://dribbble.com/shots/5771531-Designer-And-Client-2,DeeKay,3540,108
62,Self Motivation App,https://dribbble.com/shots/7221280-Self-Motivation-App,Fireart Studio,3537,60
63,Movie 2.0,https://dribbble.com/shots/8257559-Movie-2-0,Dimest,3486,111
64,Landing page - Yoga App,https://dribbble.com/shots/6078712-Landing-page-Yoga-App,Outcrowd ,3455,49
65,Bike Shop Interaction,https://dribbble.com/shots/6945782-Bike-Shop-Interaction,Fireart Studio,3453,58
66,Haruki Murakami - Book Author Website/UI Concept,https://dribbble.com/shots/9172697-Haruki-Murakami-Book-Author-Website-UI-Concept,Daniel Tan,3441,74
67,Notification Icons - Adobe XD,https://dribbble.com/shots/5464294-Notification-Icons-Adobe-XD,Burnt Toast ®,3418,38
68,field.,https://dribbble.com/shots/6128763-field,unfold ,3404,36
69,Mozilla Labs Website – Header Illustration,https://dribbble.com/shots/5952576-Mozilla-Labs-Website-Header-Illustration,Ramotion,3383,74
70,Market place,https://dribbble.com/shots/7151803-Market-place,Motion Design School,3381,53
71,#Exploration - Dashboard for Task Management,https://dribbble.com/shots/6816310--Exploration-Dashboard-for-Task-Management,Paperpillar,3329,29
72,icon set,https://dribbble.com/shots/6787909-icon-set,Eddie Lobanovskiy,3304,53
73,🐈 Pets Adoption App 🐶,https://dribbble.com/shots/6617690--Pets-Adoption-App,Marina Logunova,3299,92
74,Bright App UI Kit,https://dribbble.com/shots/6733935-Bright-App-UI-Kit,UI8,3254,38
75,MOON Skincare Company,https://dribbble.com/shots/6703003-MOON-Skincare-Company,The Faces,3249,41
76,Storages Management - App,https://dribbble.com/shots/6794395-Storages-Management-App,widelab,3190,49
77,Fresh UI design for a Social App,https://dribbble.com/shots/5781139-Fresh-UI-design-for-a-Social-App,Cuberto,3179,32
78,Split Check App - Overview,https://dribbble.com/shots/8520745-Split-Check-App-Overview,Fireart Studio,3171,57
79,EV instrument cluster design,https://dribbble.com/shots/5987338-EV-instrument-cluster-design,Milkinside,3150,55
80,Geant eEducation App Design,https://dribbble.com/shots/6727007-Geant-eEducation-App-Design,Cuberto,3128,27
81,Product Analytics Management System Dashboard,https://dribbble.com/shots/6025182-Product-Analytics-Management-System-Dashboard,Fireart Studio,3118,31
82,fantasizing...,https://dribbble.com/shots/8159457-fantasizing,Fireart Studio,3110,66
83,Online Physician Consultation App,https://dribbble.com/shots/6374407-Online-Physician-Consultation-App,Cuberto,3094,35
84,Arca Bureau / Web site design,https://dribbble.com/shots/5900983-Arca-Bureau-Web-site-design,Mike | Creative Mints,3088,42
85,Traveling App,https://dribbble.com/shots/6980640-Traveling-App,Paperpillar,3082,57
86,zzap,https://dribbble.com/shots/6141892-zzap,unfold ,3069,70
87,Estudio Mobile App UI Kit I,https://dribbble.com/shots/7517982-Estudio-Mobile-App-UI-Kit-I,UI8,3069,45
88,Cub Studio,https://dribbble.com/shots/6620263-Cub-Studio,Cub Studio,3068,51
89,Ray Brown / Contemporary Abstract Art,https://dribbble.com/shots/6440475-Ray-Brown-Contemporary-Abstract-Art,Mike | Creative Mints,3053,36
90,Character Illustration,https://dribbble.com/shots/6852350-Character-Illustration,Fireart Studio,3037,113
91,GRAND / Graphic Design,https://dribbble.com/shots/8555640-GRAND-Graphic-Design,Mike | Creative Mints,3018,46
92,Animated Onboarding Screens,https://dribbble.com/shots/6654320-Animated-Onboarding-Screens,Cuberto,3001,29
93,IoT App for growing plants,https://dribbble.com/shots/6522758-IoT-App-for-growing-plants,Fireart Studio,2997,37
94,Tea Ecommerce: Product Card,https://dribbble.com/shots/5781295-Tea-Ecommerce-Product-Card,tubik,2996,54
95,Mobile App - Mindfulness,https://dribbble.com/shots/7424303-Mobile-App-Mindfulness,Outcrowd ,2976,46
96,TheHub - Website Exploration 01,https://dribbble.com/shots/7158635-TheHub-Website-Exploration-01,Balkan Brothers,2962,51
97,Smart Home Controller,https://dribbble.com/shots/6396764-Smart-Home-Controller,Ramotion,2950,31
98,Chopsticks,https://dribbble.com/shots/5889391-Chopsticks,Markus Magnusson ,2940,80
99,House Booking interaction mobile KIT onboarding illustrations,https://dribbble.com/shots/10419474-House-Booking-interaction-mobile-KIT-onboarding-illustrations,Taras Migulko,2929,41
100,Plant Shop,https://dribbble.com/shots/6158149-Plant-Shop,10Clouds,2926,27
101,Card Paginator Component,https://dribbble.com/shots/6160500-Card-Paginator-Component,Cuberto,2925,32
102,Urban Planners Mobile Animation,https://dribbble.com/shots/8907229-Urban-Planners-Mobile-Animation,unfold ,2917,60
103,Hiring Artists Website Design,https://dribbble.com/shots/6158271-Hiring-Artists-Website-Design,tubik,2909,33
104,like and wipe,https://dribbble.com/shots/5777352-like-and-wipe,Burnt Toast ®,2903,44
105,DOMO / SMM Agency web site,https://dribbble.com/shots/9935851-DOMO-SMM-Agency-web-site,Mike | Creative Mints,2881,77
