,author,buyCount,desc,price,profile,publishDate,title,url
0,老錢,19480,大型互联网企业 Redis 实践总结，结合实际问题深入讲解 Redis 内部机制,19.9,掌阅服务端技术专家，互联网分布式高并发技术十年老兵,2018-07-29,Redis 深度历险：核心原理与应用实践,https://juejin.im/book/5afc2e5f6fb9a07a9b362527
1,小孩子4919,7911,授人以鱼不如授人以渔，从根儿上理解 MySQL，让 MySQL 不再是一个黑盒。,29.9,公众号「我们都是小青蛙」作者，专注将复杂概念简单化,2018-11-29T11:21:45.443Z,MySQL 是怎样运行的：从根儿上理解 MySQL,https://juejin.im/book/5bffcbc9f265da614b11b731
2,yck,7594,助你建立起完整的前端知识架构体系，探究知识的原理，深入了解大厂常考知识点,49.9,宋小菜高级开发，GitHub 15K Star 项目作者，公众号前端真好玩主笔,2019-02-12,前端面试之道,https://juejin.im/book/5bdc715fe51d454e755f75ef
3,染陌同学,7087,把原理抽象为小 Demo，以一种对新手友好的方式带领读者漫游 Vue.js 的世界,9.9,BAT 高级前端工程师,2018-02-10,剖析 Vue.js 内部运行机制,https://juejin.im/book/5a36661851882538e2259c0f
4,闪电侠,6075,基于 Netty 框架实现 IM 核心系统，带你深入学习 Netty 网络编程核心知识,29.9,某大型互联网公司基础架构部技术专家,2018-10-08,Netty 入门与实战：仿写微信 IM 即时通讯系统,https://juejin.im/book/5b4bc28bf265da0f60130116
5,修言,5823,毫秒必争！深入理解前端性能原理，将晦涩的知识转化为可爱的生产力，建立你自己的优化技能索引目录,19.9,阿里巴巴集团前端工程师,2018-10-24,前端性能优化原理与实践,https://juejin.im/book/5b936540f265da0a9624b04b
6,阴明,5634,帮助你了解掘金小册产品各项功能，学习如何选题、写作、发布和上线售卖,0.01,掘金创始人,,如何写一本掘金小册,https://juejin.im/book/59e414a5518825541b03ce66
7,dendoink,5477,熟练掌握 Chrome 调试技巧，直接提升工作效率。,0.01,"Tomek Sułkowski ：Angular Tricity 联合创始人/ `Angular` 专家 , 在 [Medium专栏](https://t.co/IFU5poPEla) 发布多篇文章, Medium `frontend.coach` 专栏作者，拥有 15k 关注，擅长 `Typescript` 等前端技术。",2019-01-22,你不知道的 Chrome 调试技巧,https://juejin.im/book/5c526902e51d4543805ef35e
8,扔物线,5016,让你不仅用上、更用明白的 Git 实用指南,29.9,hencoder.com 给高级 Android 工程师的进阶手册,,Git 原理详解及实用指南,https://juejin.im/book/5a124b29f265da431d3c472e
9,阴明,4902,掘金社区的各个功能的官方指南，帮助你玩转掘金，成为一名优秀的开发者,0.0,掘金站长,2019-04-12,如何使用掘金社区,https://juejin.im/book/5c90640c5188252d7941f5bb
10,teabyii,4407,基于 4.x 版本，从细节和深度上弄懂 webpack，随心所欲定制前端开发环境,19.9,前支付宝前端开发，现唯品会高级开发,2018-03-28,使用 webpack 定制前端开发环境,https://juejin.im/book/5a6abad5518825733c144469
11,三水清,4307,从基础到实战，从开发环境搭建到开发、调试、上线，打通小程序开发全流程,9.9,资深 Web 前端工程师，十年互联网老司机,2018-08-13T02:46:25.577Z,微信小程序开发入门：从 0 到 1 实现天气小程序,https://juejin.im/book/5b70f101e51d456669381803
12,Alex007,4243,找工作面试是门技术活，掌握一定技巧可以让你事半功倍,29.9,百度 Web 前端工程师，资深面试官,2018-03-07,Web 前端面试指南与高频考题解析,https://juejin.im/book/5a8f9ddcf265da4e9f6fb959
13,老錢,4097,通过「造轮子」自建 Python RPC 服务，深入理解分布式高并发原理与实践,19.9,掌阅服务端技术专家，互联网分布式高并发十年老兵,2018-05-12,深入理解 RPC : 基于 Python 自建分布式高并发 RPC 服务,https://juejin.im/book/5af56a3c518825426642e004
14,Aresn,3463,iView 作者 3 年的 Vue.js 组件开源积累，Vue.js 组件知识深入剖析,29.9,TalkingData 前端架构师，iView 作者,2018-11-30,Vue.js 组件精讲,https://juejin.im/book/5bc844166fb9a05cd676ebca
15,劳卜,3410,"从构建到开发，帮助 Vue 开发者提升项目构建与开发能力，基于 Vue CLI 3
",9.9,高级前端工程师，掘金专栏作者，专注 Vue.js 开发,2018-09-19,Vue 项目构建与开发入门,https://juejin.im/book/5b23a5aef265da59716fda09
16,诚身,3391,基于 React 的企业管理系统开发经验，带你学习如何抽象复杂业务逻辑，帮助团队实现效能提升,19.9,阿里巴巴集团前端工程师，知乎 pure render 专栏核心作者,2018-06-11T06:25:59.263Z,React 组合式开发实践：打造企业管理系统五大核心模块,https://juejin.im/book/5b1e15f76fb9a01e516d14a0
17,凹凸实验室,3198,剖析 Taro 多端开发框架的实现原理，并通过电商核心的项目实战，帮助开发者快速上手多端项目。,9.9,凹凸实验室,2018-09-15,Taro 多端开发实现原理与项目实战,https://juejin.im/book/5b73a131f265da28065fb1cd
